production_companies,budget
 Fís Éireann/Screen Ireland,5800000.0
 Fünfte Babelsberg Film,54000000.0
 GAGA Corporation,0.0
 GDH 559,1839169.0
 GENCO,0.0
 GK Films,52000000.0
 GKIDS,6000000.0
 GYAO,0.0
 Gaumont,13700000.0
 Genre Films,77500000.0
 George Stevens Jr. Productions,5400000.0
 Georgianfilm,0.0
 Gerber Pictures,33000000.0
 Ghoulardi Film Company,25666666.666666668
 Gidden Media,0.0
 Gilbert Films,30000000.0
 Globo Filmes,1192222.2222222222
 Globomedia,0.0
 Globoplay,1480000.0
 Gloob,0.0
 Goethe Filmproduktion,5070773.0
 Golden Harvest Company,11700000.0
 Goldmoon Film,5500000.0
 Good Smile Film,0.0
 Goodhill Vision,0.0
 Gran Via Productions,21000000.0
 Grand Army Entertainment,16000000.0
 Gravity Animation,0.0
 Greenwich Film Production,12000000.0
 Groucho II Film Partnership,63000000.0
 Gruskoff/Venture Films,2800000.0
 Gullane Entretenimento,0.0
 Gunn Films,200000000.0
 Gunpowder Films,20000000.0
 H Is 4 Productions,0.0
 HALF H･P STUDIO,0.0
 HMCH,0.0
 Hachiko,16000000.0
 Haddock Films,2000000.0
 Hakuhodo,2925000.0
 Hakuhodo DY Media Partners,22716666.666666668
 Hakuhodo DY Music & Pictures,0.0
 Handmade Films,1350000.0
 Hank Levine Film & Music,3300000.0
 Hanna-Barbera Cartoons,0.0
 Haojiahuo Pictures,0.0
 Happinet Pictures,0.0
 Happy Madison Productions,21000000.0
 Harbinger Pictures,25000000.0
 Harris-Kubrick Productions,627500.0
 Hasbro Entertainment,75000000.0
 Haut et Court,12000000.0
 Hawk Films,10733333.333333334
 He Nan Dian Ying Dian Shi Zhi Zuo Ji Tuan,0.0
 Head Gear Films,0.0
 Henan Film & TV Production Group,0.0
 Herald Ace,12000000.0
 Hercules Film Fund,0.0
 Heritage Films,35000000.0
 Heyday Films,143611111.1111111
 Heyi Capital,0.0
 Hiroshima Telecasting,0.0
 Hit & Run Productions,76000000.0
 Hold Up Films,5740000.0
 Hollywood Pictures,40000000.0
 Horgos Coloroom Pictures,22000000.0
 Horizon Pictures,910000.0
 Huayi Tencent Entertainment,5500000.0
 Human Woman,6000000.0
 Hyphenate Films,0.0
 Hélium Films,8000000.0
 I Remember Productions,9000000.0
 ICEC,4000000.0
 IDL Films,21400000.0
 IM Global,40000000.0
 INA,0.0
 INCAA,1825000.0
 ITC Entertainment,0.0
 Icon Productions,56000000.0
 Image Nation Abu Dhabi,12000000.0
 ImageMovers,46250000.0
 Imagine Entertainment,48000000.0
 Impostor Pictures,30000000.0
 Incei Film,0.0
 Independent,0.0
 Indian Paintbrush,44256732.666666664
 Indie Prod,4750000.0
 Industrias Audiovisuales Argentinas S.A.,1300000.0
 Industry Entertainment Partners,4500000.0
 Indéfilms 8,9850000.0
 Inferno Distribution,16000000.0
 Infinity Hill,20000000.0
 Inflammable Films,0.0
 Initial Entertainment Group,90000000.0
 Innisfree Pictures,23000000.0
 Inside Track,17500000.0
 Instituto Mexicano de Cinematografía,800000.0
 Integral Films,47000000.0
 Interopa Film,0.0
 Intuition Films,0.0
 Invicta Capital,10000000.0
 Isabella Films B.V.,10000000.0
 Island World,0.0
 Isle of Man Film,0.0
 Itami Productions,1500000.0
 J. Arthur Rank Organisation,550000.0
 J.Z. & Asociados,1300000.0
 JB Pictures,0.0
 JCE Movies,0.0
 JVC,0.0
 Jacel Desposito,0.0
 Jack Rollins & Charles H. Joffe Productions,9000000.0
 Jalem Productions,3200000.0
 Jean Silvera Films,200000.0
 Jerico,0.0
 Jerry Bruckheimer Films,143333333.33333334
 Jersey Films,14500000.0
 Jet Tone Production,3000000.0
 Jinks/Cohen Company,42500000.0
 JoAnne Sellar Productions,25000000.0
 John Barry Group,0.0
 John Ford Productions,3200000.0
 Joint Effort,55000000.0
 Jolie Pas,0.0
 Jor Kwang Films,1000000.0
 Jouer Limited,2800000.0
 Joy Pictures,11936735.0
 JuVee Productions,50000000.0
 Juno Pix,33000000.0
 Jurow-Shepherd,2500000.0
 K & S Films,4000000.0
 K2 Two,3000000.0
 K3G Films Limited,0.0
 K5 Film,5070773.0
 K5 International,5070773.0
 KADOKAWA,0.0
 KADOKAWA Media House,0.0
 KADOKAWA Shoten,0.0
 KD Media,1500000.0
 KDDI,8216666.666666667
 KNM,6000000.0
