production_companies,budget
Touché Films,0.0
Traction Media,1000000.0
Transatlantic Pictures,1500000.0
Tretye Tvorcheskoe Obyedinenie,0.0
TriStar Pictures,25333333.333333332
Truth Entertainment,5000000.0
Tsuburaya Productions,0.0
Tyler Perry Studios,0.0
Téléfilm Canada,13000000.0
UFA,1766666.6666666667
UM Group,1000000.0
Ultramar Films,0.0
Unit Four,0.0
United Artists,9446666.666666666
United Feature Syndicate,96000.0
Universal International Pictures,414500.0
Universal Pictures,29768702.666666668
Universal Pictures do Brasil,4000000.0
Unión Industrial Cinematográfica,0.0
Valoria Films,0.0
Vendôme Pictures,10000000.0
Vera Film,0.0
Viacom International Inc.,0.0
Viacom18 Studios,4500000.0
Victoires Productions,10000000.0
VideoFilmes,1480000.0
Videocine,0.0
Vidhu Vinod Chopra Productions,9000000.0
Village Roadshow Pictures,63000000.0
Virtual Studios,54000000.0
Véra Films,0.0
Walt Disney Animation Studios,112500000.0
Walt Disney Feature Animation,59000000.0
Walt Disney Pictures,69777777.77777778
Walt Disney Productions,60000.0
Walter Wanger Productions,531374.0
Warner Bros Pictures Italia,75000.0
Warner Bros. Animation,0.0
Warner Bros. Feature Animation,50000000.0
Warner Bros. International Television Production Sweden,0.0
Warner Bros. Japan,0.0
Warner Bros. Pictures,66628065.90909091
Warner Bros.-Seven Arts,3200000.0
Warner Independent Pictures,2700000.0
Warner Premiere,3500000.0
Wayfarer Entertainment,7000000.0
Werner Herzog Filmproduktion,7362000.0
Westbrook,0.0
Western-World Television Inc.,420000.0
Whiplash Productions,0.0
Wildside,9000000.0
Wildwood Enterprises,8500000.0
William Castle Productions,3200000.0
Winkler Films,13000000.0
Working Title Films,15000000.0
Wytwórnia Filmów Dokumentalnych i Fabularnych,0.0
Yang & His Gang Filmmakers,0.0
Yarno Cinematografica,0.0
Yash Raj Films,13200000.0
Yong Film,119.0
ZAG Entertainment,0.0
Zentropa Entertainments,9216666.666666666
Zentropa International Berlin,8500000.0
Zentropa International Sweden,3800000.0
bilibili,0.0
gray-film,0.0
khara,19850000.0
kurhaus production,0.0
ufotable,15700000.0
África Filmes,0.0
